Asset,Strategy,FGI_Threshold,Leverage,Total_Return%,Monthly_Return%,Sharpe_Ratio,Max_Drawdown%,Win_Rate%,Total_Trades,Liquidations,Time_In_Market%
ETH,momentum,50,9,2773.9849,231.1654,64.8775,88.9910,28.5714,14,0,63.9087
ETH,momentum,50,8,2408.9459,200.7455,64.8728,82.9133,28.5714,14,0,63.9087
ETH,momentum,50,10,2408.9459,200.7455,64.8728,82.9133,28.5714,14,0,63.9087
ETH,momentum,50,7,2015.7360,167.9780,64.8666,75.8857,28.5714,14,0,63.9087
ETH,momentum,50,6,1617.6019,134.8002,64.8585,67.9082,28.5714,14,0,63.9087
ETH,momentum,50,5,1234.8022,102.9002,64.8470,62.8385,28.5714,14,0,63.9087
ETH,momentum,49,7,1035.5011,86.2918,44.9910,74.0184,21.4286,14,0,68.0231
ETH,momentum,49,8,1022.1560,85.1797,44.9938,79.1253,21.4286,14,0,68.0231
ETH,momentum,49,5,992.9786,82.7482,44.9872,69.5932,21.4286,14,0,68.0231
ETH,momentum,49,6,992.9786,82.7482,44.9872,69.5932,21.4286,14,0,68.0231
ETH,momentum,49,9,953.9398,79.4950,44.9959,84.8776,21.4286,14,0,68.0231
ETH,momentum,50,4,884.1428,73.6786,64.8299,56.7984,28.5714,14,0,63.9087
ETH,momentum,49,10,835.8609,69.6551,44.9977,89.7129,21.4286,14,0,68.0231
ETH,momentum,53,10,828.0849,69.0071,40.8524,83.2027,20.0000,20,0,28.9929
ETH,momentum,53,9,794.8403,66.2367,40.8468,79.2293,20.0000,20,0,28.9929
ETH,momentum,49,4,756.2840,63.0237,44.9742,58.4304,21.4286,14,0,68.0231
ETH,momentum,53,8,744.3659,62.0305,40.8398,74.6062,20.0000,20,0,28.9929
ETH,momentum,53,6,677.4893,56.4574,40.8308,69.3137,20.0000,20,0,28.9929
ETH,momentum,53,7,677.4893,56.4574,40.8308,69.3137,20.0000,20,0,28.9929
ETH,momentum,52,9,614.7927,51.2327,36.5050,77.6494,25.0000,24,0,38.9737
ETH,momentum,52,7,608.2856,50.6905,36.4972,72.7401,25.0000,24,0,38.9737
ETH,momentum,52,10,599.0427,49.9202,36.5113,81.8779,25.0000,24,0,38.9737
ETH,momentum,64,7,595.8276,49.6523,40.8187,63.1426,20.0000,20,0,28.9929
ETH,momentum,49,3,579.7950,48.3163,44.9612,50.9752,21.4286,14,0,68.0231
ETH,momentum,52,8,578.9003,48.2417,36.4872,67.2549,25.0000,24,0,38.9737
ETH,momentum,50,3,578.5954,48.2163,64.8013,48.9557,28.5714,14,0,63.9087
