Asset,Strategy,FGI_Threshold,Leverage,Total_Return%,Monthly_Return%,Sharpe_Ratio,Max_Drawdown%,Win_Rate%,Total_Trades,Liquidations,Time_In_Market%
SOL,momentum,50,6,440.0604,36.6717,22.2604,88.7039,26.9231,26,0,62.2873
SOL,momentum,50,5,429.6973,35.8081,22.2393,83.0172,26.9231,26,0,62.2873
SOL,momentum,50,7,412.5852,34.3821,22.2755,93.6523,26.9231,26,0,62.2873
SOL,momentum,50,4,381.8279,31.8190,22.2075,75.1330,26.9231,26,0,62.2873
SOL,momentum,50,3,302.1535,25.1795,22.1547,64.2936,26.9231,26,0,62.2873
SOL,momentum,52,8,294.4452,24.5371,29.4567,94.9558,22.7273,22,0,39.3919
SOL,momentum,51,6,256.6709,21.3892,28.5605,77.7329,19.2308,26,0,50.0794
SOL,momentum,51,5,252.4355,21.0363,28.5379,69.2944,19.2308,26,0,50.0794
SOL,momentum,52,6,249.0886,20.7574,29.4296,83.1295,22.7273,22,0,39.3919
SOL,momentum,49,4,237.5091,19.7924,25.2610,91.3288,21.4286,14,0,69.8548
SOL,momentum,51,7,236.3558,19.6963,28.5766,84.7885,19.2308,26,0,50.0794
SOL,momentum,49,3,228.5218,19.0435,25.2225,83.4535,21.4286,14,0,69.8548
SOL,momentum,51,4,225.5619,18.7968,28.5041,61.1802,19.2308,26,0,50.0794
SOL,momentum,46,3,217.2577,18.1048,18.2386,94.2845,25.0000,8,0,92.3985
SOL,momentum,52,5,216.9453,18.0788,29.4079,75.5974,22.7273,22,0,39.3919
SOL,momentum,48,3,209.5104,17.4592,15.3498,91.6968,15.0000,20,0,78.4661
SOL,momentum,50,2,201.4837,16.7903,22.0490,49.8592,26.9231,26,0,62.2873
SOL,momentum,47,3,199.7346,16.6446,9.4539,93.3414,18.7500,16,0,88.4729
SOL,momentum,49,5,192.9333,16.0778,25.2840,95.8699,21.4286,14,0,69.8548
SOL,momentum,51,8,191.9487,15.9957,28.5887,90.6101,19.2308,26,0,50.0794
SOL,momentum,51,3,180.2061,15.0172,28.4477,52.1270,19.2308,26,0,50.0794
SOL,momentum,52,4,179.4607,14.9551,29.3754,66.5522,22.7273,22,0,39.3919
SOL,momentum,49,2,173.6667,14.4722,25.1457,69.8551,21.4286,14,0,69.8548
SOL,momentum,46,2,151.3118,12.6093,18.1235,81.5788,25.0000,8,0,92.3985
SOL,momentum,47,10,148.9170,12.4098,15.2273,76.9465,15.0000,20,0,78.4661
SOL,momentum,47,2,143.6086,11.9674,9.2968,79.3555,18.7500,16,0,88.4729
SOL,momentum,52,3,137.6340,11.4695,29.3212,55.4871,22.7273,22,0,39.3919
SOL,momentum,51,9,126.1735,10.5145,28.5981,95.3360,19.2308,26,0,50.0794
SOL,momentum,51,2,122.3887,10.1991,28.3350,40.2229,19.2308,26,0,50.0794
SOL,momentum,45,2,120.9284,10.0774,21.7894,87.0683,25.0000,8,0,95.3483
SOL,momentum,1,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,2,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,3,4,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,4,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,5,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,6,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,7,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,8,1,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,9,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,10,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,11,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,12,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,13,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,14,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,15,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,16,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,17,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,18,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,19,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,20,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,21,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,22,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,23,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,24,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,26,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,27,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,28,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,28,8,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,29,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,30,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,31,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,32,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,33,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,34,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,35,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,36,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,37,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,38,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,39,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,40,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,41,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,42,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,43,2,100.4390,8.3699,0.0000,94.5447,50.0000,2,0,99.9887
SOL,momentum,50,1,94.6861,7.8905,21.7318,32.0371,23.0769,26,0,62.2873
SOL,momentum,52,2,92.6651,7.7221,29.2129,41.6407,22.7273,22,0,39.3919
SOL,momentum,49,1,89.5731,7.4644,24.9151,45.7785,21.4286,14,0,69.8548
SOL,momentum,46,1,76.5570,6.3797,17.7782,59.1057,25.0000,8,0,92.3985
SOL,momentum,48,1,75.5224,6.2935,14.8598,51.1962,15.0000,20,0,78.4661
SOL,momentum,47,1,74.3869,6.1989,8.8253,55.2649,18.7500,16,0,88.4729
SOL,momentum,51,1,59.3659,4.9472,27.9968,23.8698,19.2308,26,0,50.0794
SOL,momentum,45,1,59.2550,4.9379,21.1479,63.9144,25.0000,8,0,95.3483
SOL,momentum,50,9,54.8480,4.5707,29.9258,98.4770,29.6296,27,1,62.2873
SOL,momentum,1,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,2,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,3,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,4,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,5,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,6,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,7,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,8,2,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,9,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,10,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,11,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,12,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,13,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,14,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,15,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,16,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,17,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,18,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,19,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,20,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,21,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,22,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,23,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,24,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,25,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,26,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,27,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,27,10,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,29,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,30,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,31,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,32,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,33,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,34,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
SOL,momentum,35,1,50.1721,4.1810,0.0000,70.6441,50.0000,2,0,99.9887
